umap1,umap2,cat
11.602809,-5.243284,Alaskan ultramafic
11.615169,-5.315707,Alaskan ultramafic
11.625768,-5.3137174,Alaskan ultramafic
11.605344,-5.2702436,Alaskan ultramafic
11.629372,-5.303699,Alaskan ultramafic
11.582889,-5.2612123,Alaskan ultramafic
11.611334,-5.288451,Alaskan ultramafic
11.6168165,-5.300625,Alaskan ultramafic
11.707045,-5.7905107,Alaskan ultramafic
11.603759,-5.243975,Alaskan ultramafic
12.2775135,-5.846703,Alaskan ultramafic
11.608873,-5.290875,Alaskan ultramafic
12.205043,-5.806239,Alaskan ultramafic
11.613207,-5.303929,Alaskan ultramafic
12.272357,-5.8360763,Alaskan ultramafic
12.208415,-5.8436456,Alaskan ultramafic
11.789469,-5.59979,Alaskan ultramafic
11.922215,-5.6649785,Alaskan ultramafic
11.691776,-5.7307835,Alaskan ultramafic
11.83958,-5.9675856,Alaskan ultramafic
11.7876425,-5.9095373,Alaskan ultramafic
11.665777,-5.737597,Alaskan ultramafic
11.796092,-5.8830605,Alaskan ultramafic
11.757891,-5.8977036,Alaskan ultramafic
11.819877,-5.873252,Alaskan ultramafic
11.7882,-5.916305,Alaskan ultramafic
11.817335,-5.8800015,Alaskan ultramafic
11.849261,-5.882819,Alaskan ultramafic
11.811675,-5.8798656,Alaskan ultramafic
11.806757,-5.91496,Alaskan ultramafic
11.642713,-5.6778193,Alaskan ultramafic
11.8193,-5.8632545,Alaskan ultramafic
11.788359,-5.922509,Alaskan ultramafic
11.799067,-5.8538647,Alaskan ultramafic
11.849958,-5.8365283,Alaskan ultramafic
11.823718,-5.845069,Alaskan ultramafic
11.83115,-5.9933357,Alaskan ultramafic
11.701322,-5.8030133,Alaskan ultramafic
11.827372,-5.879105,Alaskan ultramafic
11.809158,-5.8820143,Alaskan ultramafic
11.794552,-5.9100113,Alaskan ultramafic
11.774407,-5.9456024,Alaskan ultramafic
11.786353,-5.9069595,Alaskan ultramafic
11.718912,-5.906119,Alaskan ultramafic
11.751833,-5.9362693,Alaskan ultramafic
11.794931,-5.9089646,Alaskan ultramafic
11.8619175,-5.9085813,Alaskan ultramafic
11.872702,-5.830513,Alaskan ultramafic
11.840461,-5.8166966,Alaskan ultramafic
12.018391,-5.8474507,Alaskan ultramafic
11.862282,-5.8739934,Alaskan ultramafic
12.078589,-5.849159,Alaskan ultramafic
11.909112,-5.845555,Alaskan ultramafic
11.991727,-5.8053527,Alaskan ultramafic
11.833677,-5.8244247,Alaskan ultramafic
11.896274,-5.825152,Alaskan ultramafic
11.890396,-5.819285,Alaskan ultramafic
11.935711,-5.838185,Alaskan ultramafic
11.964651,-5.8571076,Alaskan ultramafic
11.9659395,-5.708916,Alaskan ultramafic
12.042174,-5.7757273,Alaskan ultramafic
11.859396,-5.872111,Alaskan ultramafic
11.864181,-5.7439075,Alaskan ultramafic
11.790845,-5.7560844,Alaskan ultramafic
11.942548,-5.8208947,Alaskan ultramafic
11.762901,-5.9507465,Alaskan ultramafic
11.7524395,-5.970513,Alaskan ultramafic
11.787216,-5.929936,Alaskan ultramafic
11.77234,-5.9200883,Alaskan ultramafic
11.789578,-5.943907,Alaskan ultramafic
11.750435,-5.9217124,Alaskan ultramafic
11.800451,-5.915732,Alaskan ultramafic
11.912606,-5.8079824,Alaskan ultramafic
11.781551,-5.8755374,Alaskan ultramafic
11.726712,-5.74118,Alaskan ultramafic
11.853342,-5.84655,Alaskan ultramafic
12.199019,-5.85062,Alaskan ultramafic
12.167955,-5.838581,Alaskan ultramafic
11.8589735,-5.8508244,Alaskan ultramafic
12.123254,-5.8567824,Alaskan ultramafic
12.192453,-5.860739,Alaskan ultramafic
12.00673,-5.819706,Alaskan ultramafic
12.182326,-5.83753,Alaskan ultramafic
-0.82181203,-13.331361,Alkali/Lamprophyres
-0.82374907,-13.405833,Alkali/Lamprophyres
-0.8116975,-13.436939,Alkali/Lamprophyres
-1.4463013,-14.615139,Alkali/Lamprophyres
-1.6211507,-14.405064,Alkali/Lamprophyres
-1.1479717,-14.616893,Alkali/Lamprophyres
-2.0043964,-14.764974,Alkali/Lamprophyres
-1.7722278,-14.342918,Alkali/Lamprophyres
-0.36613178,-14.753963,Alkali/Lamprophyres
-0.55479556,-15.505771,Alkali/Lamprophyres
-2.6898897,-15.4863,Alkali/Lamprophyres
-2.8017755,-15.614629,Alkali/Lamprophyres
-2.8308873,-15.622939,Alkali/Lamprophyres
-2.8067217,-15.559999,Alkali/Lamprophyres
0.86779267,-14.658521,Alkali/Lamprophyres
1.2187908,-14.481352,Alkali/Lamprophyres
1.2074245,-14.456429,Alkali/Lamprophyres
-1.0998666,-14.4630165,Alkali/Lamprophyres
-0.8591316,-14.533172,Alkali/Lamprophyres
1.2201694,-14.472398,Alkali/Lamprophyres
