umap1,umap2,cat
7.283105,-5.8810096,Alaskan ultramafic
7.1621046,-5.748867,Alaskan ultramafic
7.0832105,-5.6774163,Alaskan ultramafic
7.2191153,-5.792395,Alaskan ultramafic
7.1620417,-5.9328723,Alaskan ultramafic
7.1922297,-5.8568664,Alaskan ultramafic
7.208474,-5.919322,Alaskan ultramafic
7.2384696,-5.781795,Alaskan ultramafic
7.219418,-5.8039217,Alaskan ultramafic
7.287004,-5.879431,Alaskan ultramafic
7.2470036,-5.8425913,Alaskan ultramafic
7.1463704,-5.7447677,Alaskan ultramafic
7.162645,-5.951657,Alaskan ultramafic
7.217397,-5.802,Alaskan ultramafic
7.202985,-5.7838817,Alaskan ultramafic
7.248101,-5.823892,Alaskan ultramafic
7.1885896,-5.765573,Alaskan ultramafic
7.3033023,-5.7300143,Alaskan ultramafic
7.225153,-5.8124866,Alaskan ultramafic
7.2075067,-5.7903633,Alaskan ultramafic
7.2270656,-5.80731,Alaskan ultramafic
7.24692,-5.8361263,Alaskan ultramafic
7.203459,-5.896886,Alaskan ultramafic
7.2319927,-5.8617773,Alaskan ultramafic
6.8923125,-6.0370355,Alaskan ultramafic
7.204364,-5.7950115,Alaskan ultramafic
7.2277193,-5.8505864,Alaskan ultramafic
7.2683477,-5.8493543,Alaskan ultramafic
7.278074,-5.877128,Alaskan ultramafic
7.2331657,-5.8269,Alaskan ultramafic
6.734331,-6.1757646,Alaskan ultramafic
7.242989,-5.876721,Alaskan ultramafic
7.2153926,-5.8443937,Alaskan ultramafic
7.190575,-5.8144093,Alaskan ultramafic
7.1610403,-5.792007,Alaskan ultramafic
7.2005,-5.865458,Alaskan ultramafic
7.195977,-5.8287945,Alaskan ultramafic
7.1982365,-5.8222837,Alaskan ultramafic
7.1615553,-5.902459,Alaskan ultramafic
7.225392,-5.824702,Alaskan ultramafic
7.21309,-5.8503447,Alaskan ultramafic
7.2305455,-5.8111243,Alaskan ultramafic
6.9499984,-6.036956,Alaskan ultramafic
7.241078,-5.836138,Alaskan ultramafic
6.9468665,-6.0427165,Alaskan ultramafic
7.2303014,-5.813514,Alaskan ultramafic
6.803502,-6.0960636,Alaskan ultramafic
7.2012777,-5.808172,Alaskan ultramafic
7.195187,-5.782309,Alaskan ultramafic
7.1510973,-5.742698,Alaskan ultramafic
7.1736207,-5.7751656,Alaskan ultramafic
7.2546816,-5.844417,Alaskan ultramafic
7.2185917,-5.8807135,Alaskan ultramafic
7.2263865,-5.82316,Alaskan ultramafic
7.2428102,-5.8327465,Alaskan ultramafic
2.9463882,-1.729921,Alaskan ultramafic
2.9147947,-1.7097355,Alaskan ultramafic
8.312724,4.0887446,Alaskan ultramafic
8.335149,4.1288824,Alaskan ultramafic
8.338283,4.133608,Alaskan ultramafic
3.000779,-1.7621698,Alaskan ultramafic
3.0090098,-1.7288634,Alaskan ultramafic
3.001458,-1.7605721,Alaskan ultramafic
