umap1,umap2,cat
5.8051443,12.756101,Alaskan ultramafic
5.692489,13.04338,Alaskan ultramafic
5.7424893,12.84042,Alaskan ultramafic
5.714298,12.974682,Alaskan ultramafic
5.7493477,12.946795,Alaskan ultramafic
5.729026,12.971498,Alaskan ultramafic
5.7203703,12.97482,Alaskan ultramafic
5.6740265,13.113468,Alaskan ultramafic
5.7084217,13.031275,Alaskan ultramafic
5.810762,12.773734,Alaskan ultramafic
5.6747475,13.15476,Alaskan ultramafic
5.6681547,13.176363,Alaskan ultramafic
5.708143,13.029748,Alaskan ultramafic
5.7325726,12.540939,Alaskan ultramafic
5.784904,12.612737,Alaskan ultramafic
5.820559,12.65104,Alaskan ultramafic
5.76287,12.57727,Alaskan ultramafic
5.7908673,12.61841,Alaskan ultramafic
5.7753143,12.596707,Alaskan ultramafic
5.772692,12.598969,Alaskan ultramafic
5.7989883,12.7903595,Alaskan ultramafic
5.7764735,12.782438,Alaskan ultramafic
5.8520308,12.725391,Alaskan ultramafic
5.8091574,12.761081,Alaskan ultramafic
5.7083116,13.05079,Alaskan ultramafic
5.6873875,13.048025,Alaskan ultramafic
5.7434483,12.918927,Alaskan ultramafic
5.752484,12.991793,Alaskan ultramafic
5.704575,13.05697,Alaskan ultramafic
5.74266,12.969898,Alaskan ultramafic
5.7299986,13.003894,Alaskan ultramafic
15.931127,-1.0453243,Alkali/Lamprophyres
15.835173,-1.016627,Alkali/Lamprophyres
15.8559265,-1.0230491,Alkali/Lamprophyres
17.233423,-2.0200508,Alkali/Lamprophyres
17.206873,-2.332087,Alkali/Lamprophyres
17.135744,-2.1848567,Alkali/Lamprophyres
17.944277,-2.967324,Alkali/Lamprophyres
17.108624,-2.3824732,Alkali/Lamprophyres
17.690517,-3.723187,Alkali/Lamprophyres
17.80869,-1.1721405,Alkali/Lamprophyres
18.266003,-3.0382605,Alkali/Lamprophyres
18.343937,-3.3999677,Alkali/Lamprophyres
18.43168,-3.6604192,Alkali/Lamprophyres
18.236933,-3.5583327,Alkali/Lamprophyres
18.076254,-0.76144916,Alkali/Lamprophyres
18.26627,0.19581017,Alkali/Lamprophyres
18.299618,-0.5273531,Alkali/Lamprophyres
16.890276,-1.3870702,Alkali/Lamprophyres
16.898628,-1.2703736,Alkali/Lamprophyres
18.528343,-0.5158947,Alkali/Lamprophyres
18.492481,0.009827452,Alkali/Lamprophyres
17.152603,-1.8868678,Alkali/Lamprophyres
18.468607,-0.06304739,Alkali/Lamprophyres
18.376442,0.26809657,Alkali/Lamprophyres
17.112637,-1.9462746,Alkali/Lamprophyres
18.36706,0.17583613,Alkali/Lamprophyres
18.377525,0.28346536,Alkali/Lamprophyres
17.179209,-1.9614052,Alkali/Lamprophyres
18.427252,-0.19178589,Alkali/Lamprophyres
18.405626,0.24417609,Alkali/Lamprophyres
18.214386,0.8594659,Alkali/Lamprophyres
17.427902,-1.1807075,Alkali/Lamprophyres
17.3214,-0.5126066,Alkali/Lamprophyres
17.677752,-3.6643453,Alkali/Lamprophyres
17.310356,-0.47115743,Alkali/Lamprophyres
16.734808,-1.332076,Alkali/Lamprophyres
18.221443,0.0072999913,Alkali/Lamprophyres
16.717997,-1.527786,Alkali/Lamprophyres
17.311907,0.17375924,Alkali/Lamprophyres
18.321844,-0.15199567,Alkali/Lamprophyres
16.699474,-1.4727733,Alkali/Lamprophyres
16.395452,-1.1742456,Alkali/Lamprophyres
18.328398,-0.45608047,Alkali/Lamprophyres
16.654575,-1.3886784,Alkali/Lamprophyres
16.69699,-1.1772605,Alkali/Lamprophyres
18.414248,-0.46652648,Alkali/Lamprophyres
16.685553,-1.4120827,Alkali/Lamprophyres
18.37612,0.07054261,Alkali/Lamprophyres
17.153307,-1.8084123,Alkali/Lamprophyres
18.384756,-0.17794214,Alkali/Lamprophyres
1.526242,8.368936,Alkali/Lamprophyres
18.193562,0.87686926,Alkali/Lamprophyres
17.423727,0.18923885,Alkali/Lamprophyres
17.299934,0.19739503,Alkali/Lamprophyres
17.563337,0.14773333,Alkali/Lamprophyres
17.357883,0.11486068,Alkali/Lamprophyres
17.358042,0.10681027,Alkali/Lamprophyres
17.461603,0.16930364,Alkali/Lamprophyres
17.349762,0.16472046,Alkali/Lamprophyres
17.387648,0.014344127,Alkali/Lamprophyres
18.061615,-3.0728564,Alkali/Lamprophyres
18.13415,-3.3046386,Alkali/Lamprophyres
16.529167,0.41860718,Alkali/Lamprophyres
16.773983,0.3424288,Alkali/Lamprophyres
16.938475,0.15856516,Alkali/Lamprophyres
17.044643,0.11938391,Alkali/Lamprophyres
17.082209,0.03264631,Alkali/Lamprophyres
18.52679,-1.8924382,Alkali/Lamprophyres
17.87961,-0.00788646,Alkali/Lamprophyres
17.583956,-3.5925505,Alkali/Lamprophyres
17.740473,-0.10648748,Alkali/Lamprophyres
18.57234,-1.9862263,Alkali/Lamprophyres
17.60166,-2.7310526,Alkali/Lamprophyres
17.392298,-0.7568628,Alkali/Lamprophyres
17.717302,-0.47203207,Alkali/Lamprophyres
17.993626,0.014787989,Alkali/Lamprophyres
17.597603,0.203983,Alkali/Lamprophyres
17.437614,-0.12838036,Alkali/Lamprophyres
